id,user_id,song_id,text,inserted_at,updated_at
61388cb5-ae22-4d74-aded-b1b052a152ef,7793d29b-5f59-4ec1-bffa-5af22f5ed973,26760b64-320e-4971-9308-04cca6120c19,"Yes, I like the Stripped version a lot. :-)",2016-04-08 14:52:09.822726,2016-04-08 14:52:09.822726
cdb7c262-9c02-4f4f-b2e0-3f359ec2adb3,d9cb84d5-2ca9-4e2c-9b76-8f14d2f1bf40,65038591-c12b-474f-b62e-76eb3e0b0ad5,<div>Video not available in the U.S.</div>,2016-10-15 00:07:01.829858,2016-10-15 00:07:01.829858
4c2ae95c-e0bc-4477-a234-21b2fabb168d,d9cb84d5-2ca9-4e2c-9b76-8f14d2f1bf40,43b84769-b44a-48ed-95dc-fad24e662251, New Nick Jonas…  Could only find a clip. ,2016-03-25 10:16:12.495208,2016-03-25 10:16:12.495208
b495945b-4c33-4357-a80e-bc076a62f0df,d9cb84d5-2ca9-4e2c-9b76-8f14d2f1bf40,43b84769-b44a-48ed-95dc-fad24e662251,Thanks Rich!   I just found it on YouTube &  was going to post it. ,2016-03-25 22:24:39.096,2016-03-25 22:24:39.096
ab6fb70e-5d42-4378-8eab-a29d56a2451e,1a31274b-ee90-4309-b006-3b4b85b77521,66f07158-03fc-4b5c-bb59-1d69cfbf0757,<div>I searched and didn't see this posted.&nbsp;</div>,2016-09-13 02:00:23.784103,2016-09-13 02:00:23.784103
7d31ad10-d858-46f2-93c8-2d7b5e0be9af,1a31274b-ee90-4309-b006-3b4b85b77521,c7cb9138-2b03-4711-98a4-08a5965292bb,I know everyone plays this song but I think it's just so very repetitive.  It doesn't really sound like Rihanna.  Just my humble opinion.,2016-06-23 22:27:58.483797,2016-06-23 22:27:58.483797
074e1478-d3f6-4a4d-ae47-3f9dfc9386c5,1a31274b-ee90-4309-b006-3b4b85b77521,fa1268ed-ba6b-479f-8714-4d1d185a33ee,No problem.  Great suggestion by Danny. :),2016-05-06 23:35:42.410146,2016-05-06 23:35:42.410146
1b218f5a-e429-4f44-b380-2774ee574e45,1a31274b-ee90-4309-b006-3b4b85b77521,4f4b43d4-77cb-4592-b3fb-1e51cace8c23,"Thanks Laurent, it is fun!",2016-03-06 14:58:09.573927,2016-03-06 14:58:09.573927
d87343a7-1fee-43a0-804e-77b5f133a067,76e744be-8016-45e5-9e6f-68f98f310ae2,8a067907-6465-49a1-8d26-ffaccd110bad,<div>Not sure where I got this song? I could not find it here using the search feature.</div>,2016-08-08 19:39:07.995236,2016-08-08 19:39:07.995236
fe2040b5-bb3f-4a8e-9185-6e8c6c4d9003,76e744be-8016-45e5-9e6f-68f98f310ae2,464534c6-36b6-489c-9ae3-a18468e9dfa3,The entire song can be listened to @ https://www.youtube.com/watch?v=QELcfzRYi-4,2016-06-12 19:19:43.646492,2016-06-12 19:19:43.646492
