id,artist,title,inserted_at,updated_at,song_url,cover_public_id,cover_version,bpm,user_id,genre
b3264614-4cbe-4f58-9bba-fdc1168b24ef,NICK JONAS,Levels,2015-08-22 00:00:00,2016-03-13 23:49:36.300384,https://youtu.be/8X-V34Ly_Z4,covers/dc464139c8484d928a466ab8a82c0408,1449162892,102,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,pop
076adc54-d580-4d05-822c-e34b2999dabd,MACKLEMORE & RYAN LEWIS,Downtown,2015-08-27 00:00:00,2016-03-13 23:49:36.275669,https://youtu.be/JGhoLcsr8GA,covers/b45abf08de6244a2925e0b4a78a77c8b,1449162901,110,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,hiphop
721de196-6a7c-4814-94db-cfb1f2e9f58d,LAWRENCE TAYLOR,Waiting For Your Love,2015-08-24 00:00:00,2016-03-13 23:49:36.268623,https://soundcloud.com/lawrencetaylormusic/waiting-for-your-love,covers/uczfkstfrgpso1lxbenl,1457378231,111,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,rock
d90f78dd-c689-47d7-a06e-5b8cfea8b451,PENTATONIX,Can't Sleep Love,2015-08-31 00:00:00,2016-03-13 23:49:36.318406,https://youtu.be/DFCxiKXtKTI,covers/efc66ddfff6f4a0b8fe57c2743d3dadc,1449162900,94,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,pop
277836e4-2ccd-4191-8b00-100e42f2a54e,MIKE POSNER,Sound Of My Soul,2015-09-07 00:00:00,2016-03-13 23:49:36.680552,https://youtu.be/dZMWAt9SZ6c,covers/orqwshnyizw4fktimca1,1457377934,100,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,rock
f98db280-e4a6-48bb-81f5-ae8c59be2eac,JASMINE THOMPSON,Ain't Nobody (Loves Me Better),2015-09-30 00:00:00,2016-03-13 23:49:36.55185,https://youtu.be/rdE9tBxa0sY,covers/mpqgaxxtjulyusliu9fr,1456851734,95,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,acoustic
3380bde9-e215-402a-a8a0-8f9e3de34a5a,THOMAS RHETT,Die a Happy Man,2015-09-16 00:00:00,2016-03-13 23:49:36.615078,https://youtu.be/w2CELiObPeQ,covers/bbq3b6ivqjaetq9tfmey,1456851832,83,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,country
6f349240-5fcb-43b5-8f1e-e4e4090490bb,JILL SCOTT,Closure,2015-07-11 00:00:00,2016-03-13 23:49:35.883022,https://youtu.be/NQlBr3KfQ6k,covers/ldz7gbgx8pposmeezzax,1457314015,97,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,rnb
8abc89df-7580-444f-837e-e949504ebfdd,OLD DOMINION,Break Up with Him,2015-07-17 00:00:00,2016-03-13 23:49:35.959274,https://youtu.be/VrgCwAM06Yg,covers/lwyjmryl4ucp2g7uas6n,1457382524,76,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,country
e4c1c57f-872a-40f9-91aa-0a82a2c53289,RITA ORA (Feat. Chris Brown),Body On Me (Feat. Chris Brown),2015-08-07 00:00:00,2016-03-13 23:49:36.344417,https://youtu.be/sbzzJ-WLGsA,covers/486530c711df4f71b18dc2d7323142e5,1449162897,89,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,pop
f4deb580-9ec9-4105-a023-2d88167bab9b,SELENA GOMEZ,Same Old Love,2015-09-10 00:00:00,2016-03-13 23:49:36.45194,https://youtu.be/naKhF6G36rM,covers/bcyu4tq7wunbe79fafmt,1456851469,98,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,pop
60624c4b-711b-4a34-b8a8-b86ac9636d30,MKTO,Hands off My Heart,2016-03-10 22:54:06.66352,2016-03-13 23:49:36.865955,https://www.youtube.com/watch?v=g_J7LiDh1Y0,covers/agc7k5ydljkcirobfqex,1457650681,115,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,pop
af542e64-44ca-4914-9c18-2d92193c574a,KELLY CLARKSON,Piece by Piece (Idol Version),2016-03-08 05:54:25.761248,2016-03-13 23:49:36.811844,https://youtu.be/pwTMz6Nfhjg,covers/lkjegynm3gzk10t0znsk,1457416458,114,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,acoustic
a3dc9671-683b-4f06-820a-665e8435042e,THE KNOCKS,The Key,2016-03-06 15:36:48.904193,2016-03-13 23:49:36.787456,https://www.youtube.com/watch?v=rp2g0T1jGq8,covers/sruoem7tyos2himid3ug,1457278601,100,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,rnb
d834cec9-7aef-4442-b7c8-df5ba4e96284,COSTI,Bouncing (Feat. Buppy Brown),2015-08-26 00:00:00,2016-03-13 23:49:36.179343,https://youtu.be/D_WEm67b8ME,covers/96b556df19f941c6b493d37010f8c462,1449162895,80,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,rnb
a1bd5a3d-dc6f-496a-9e48-1da7bd0865a2,ARIANA GRANDE,Dangerous Woman,2016-03-11 20:29:00,2016-03-13 23:49:36.88501,https://youtu.be/TFrMDGfW_Sg,covers/fq57nl3mprcp9jqhki75,1457728381,67,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,pop
48fd7788-8e8d-4d9e-8072-3316a9d71ac8,MAX,Lights Down Low,2016-03-16 01:05:01.498677,2016-03-16 01:05:01.498677,https://youtu.be/uedzcN5_za4,covers/bvf4rapahqoq5vcc3ypz,1458090266,81,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,acoustic
87d047a2-57b9-4601-a945-6130b4155b82,MAYER HAWTHORNE,Lingerie & Candlewax,2016-03-26 11:52:15.544813,2016-03-26 11:52:15.544813,https://youtu.be/SuBlCRYE4rQ,covers/quec6bc5nmjczl3oqxcp,1458993101,92,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,soul
aa54d9f3-cdc5-4d25-b356-eda635c1fb40,EMPIRE CAST,Freedom (Feat. Jussie Smollett),2016-03-26 11:55:10.379185,2016-03-26 11:55:10.379185,https://youtu.be/jCz9TacNmAo,covers/ktyd0e8nz3hybvdmg1gm,1458993303,110,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,rnb
cb7defb4-7f98-4c71-93cf-f8ec3424d3d5,DEMIAN BAND,Breath,2016-03-28 09:35:47.847335,2016-03-28 09:35:47.847335,https://youtu.be/bMMn2z1rexk,covers/lerq1zzif6xijl4qtjvs,1459157738,74,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,blues
d2af21a1-fc1a-4087-88b9-a64df661066d,HEDLEY,Lose Control,2016-03-28 09:38:56.112087,2016-03-28 09:38:56.112087,https://youtu.be/y8eLBLyVLgU,covers/hkubxgeua7o5gr9ithmq,1459157932,120,db3c6fe7-78d1-4b41-abe5-eb16f63cc95c,dance
